trip_id,distance_km,traffic_density,weather_impact,day_of_week,hour_of_day,actual_time_mins,timestamp,avg_speed_kmh
96,109.31,10,1.2,2,9,206.29,2026-05-13 14:51:57,31.793106791410153
97,65.33,4,1.1,0,20,131.83,2026-05-13 14:51:57,29.733748008799207
98,99.08,7,1.1,2,15,188.84,2026-05-13 14:51:57,31.480618513026897
99,133.65,10,1.7,3,5,256.17,2026-05-13 14:51:57,31.30343131514229
100,87.87,4,2.0,2,6,171.57,2026-05-13 14:51:57,30.72914845252667
101,65.68,9,1.5,6,2,164.45,2026-05-13 14:51:57,23.963514746123444
102,55.73,3,1.6,6,10,121.83,2026-05-13 14:51:57,27.44644176311253
103,30.11,1,1.4,4,19,64.37,2026-05-13 14:51:57,28.065869193723785
104,34.52,7,1.8,3,15,109.29,2026-05-13 14:51:57,18.951413670052155
105,146.89,5,1.2,1,13,226.42,2026-05-13 14:51:57,38.925006624856465
106,119.08,6,1.6,4,18,211.63,2026-05-13 14:51:57,33.760808959032275
107,62.63,7,1.2,0,1,135.34,2026-05-13 14:51:57,27.765627308999555
108,34.38,4,1.5,1,7,93.05,2026-05-13 14:51:57,22.1687264911338
109,97.69,9,1.6,1,22,202.8,2026-05-13 14:51:57,28.90236686390532
110,20.44,9,1.5,5,7,106.59,2026-05-13 14:51:57,11.505769772023642
111,88.08,6,1.2,2,1,160.25,2026-05-13 14:51:57,32.97847113884555
112,128.55,10,1.4,3,5,240.26,2026-05-13 14:51:57,32.1027220511113
113,146.75,7,1.2,3,5,238.68,2026-05-13 14:51:57,36.89039718451483
114,48.92,8,1.8,1,9,133.37,2026-05-13 14:51:57,22.007947814351052
115,20.84,1,1.2,5,3,55.56,2026-05-13 14:51:57,22.505399568034555
116,8.68,3,1.7,6,4,54.23,2026-05-13 14:51:57,9.60354047575143
117,84.29,1,1.4,2,12,131.61,2026-05-13 14:51:57,38.427171187599725
119,110.08,3,1.9,5,2,186.25,2026-05-13 14:51:57,35.46201342281879
120,126.67,3,1.5,1,6,208.45,2026-05-13 14:51:57,36.460542096426
121,18.98,9,1.9,0,13,112.71,2026-05-13 14:51:57,10.103806228373703
122,136.28,9,1.3,6,4,236.86,2026-05-13 14:51:57,34.521658363590305
123,101.92,9,1.7,3,13,211.88,2026-05-13 14:51:57,28.86161978478384
124,130.13,10,2.0,0,8,241.19,2026-05-13 14:51:57,32.371988888428206
125,32.98,4,1.5,6,22,96.43,2026-05-13 14:51:57,20.520584880223993
126,34.63,1,1.9,4,5,92.81,2026-05-13 14:51:57,22.38767374205366
127,76.16,7,1.6,1,13,157.45,2026-05-13 14:51:57,29.022546840266752
128,49.26,10,1.1,3,3,141.25,2026-05-13 14:51:57,20.924601769911504
129,91.16,7,1.2,4,1,174.56,2026-05-13 14:51:57,31.333638863428042
130,11.26,4,1.3,1,10,58.77,2026-05-13 14:51:57,11.495661051556915
131,149.25,7,1.2,3,19,239.62,2026-05-13 14:51:57,37.37167181370503
132,120.31,9,1.2,3,12,231.0,2026-05-13 14:51:57,31.24935064935065
133,70.37,6,1.7,0,9,144.94,2026-05-13 14:51:57,29.13067476197047
134,109.6,3,1.6,4,17,190.68,2026-05-13 14:51:57,34.48709880427942
135,107.27,9,1.5,1,10,214.41,2026-05-13 14:51:57,30.01818945011893
136,34.55,6,1.6,3,7,110.61,2026-05-13 14:51:57,18.741524274477893
137,118.88,5,1.9,2,21,199.09,2026-05-13 14:51:57,35.82701290873474
138,44.13,8,1.4,0,6,124.59,2026-05-13 14:51:57,21.252106910666985
139,52.58,8,1.2,5,16,132.34,2026-05-13 14:51:57,23.838597551760614
140,111.13,2,1.4,4,15,171.13,2026-05-13 14:51:57,38.96336118740139
141,23.2,7,1.4,4,23,102.3,2026-05-13 14:51:57,13.607038123167156
142,106.22,8,1.9,6,7,215.44,2026-05-13 14:51:57,29.582250278499817
143,13.49,10,1.1,0,9,102.48,2026-05-13 14:51:57,7.898126463700234
144,18.63,2,1.4,1,21,68.81,2026-05-13 14:51:57,16.244731870367676
145,12.36,10,1.5,0,0,96.29,2026-05-13 14:51:57,7.701734344168657
147,61.64,1,1.3,0,10,103.07,2026-05-13 14:51:57,35.88241001261279
148,23.54,3,1.2,2,18,74.5,2026-05-13 14:51:57,18.958389261744966
149,18.55,1,1.1,6,11,56.5,2026-05-13 14:51:57,19.69911504424779
150,26.26,4,1.5,0,13,92.03,2026-05-13 14:51:57,17.12050418341845
151,74.01,7,1.1,0,11,146.41,2026-05-13 14:51:57,30.32989549894133
152,8.45,6,1.8,5,6,89.49,2026-05-13 14:51:57,5.665437479047939
153,44.57,5,1.3,4,21,105.48,2026-05-13 14:51:57,25.352673492605234
154,68.05,3,1.8,5,21,142.75,2026-05-13 14:51:57,28.602451838879155
155,135.13,7,1.4,5,18,235.57,2026-05-13 14:51:57,34.417795135203974
156,134.69,7,1.1,5,4,225.94,2026-05-13 14:51:57,35.76790298309285
157,59.22,6,1.6,1,19,147.89,2026-05-13 14:51:57,24.02596524443844
158,46.12,8,1.6,5,11,124.65,2026-05-13 14:51:57,22.199759326113114
159,78.71,5,1.4,3,8,146.41,2026-05-13 14:51:57,32.25599344307082
160,20.52,1,1.5,5,19,61.8,2026-05-13 14:51:57,19.92233009708738
161,126.02,8,1.3,0,20,226.82,2026-05-13 14:51:57,33.335684683890314
162,132.09,4,1.2,3,21,212.64,2026-05-13 14:51:57,37.271444695259596
163,75.93,8,1.7,6,15,164.87,2026-05-13 14:51:57,27.63268029356463
164,64.55,2,1.2,3,23,121.34,2026-05-13 14:51:57,31.91857590242294
165,104.27,9,1.2,0,5,195.32,2026-05-13 14:51:57,32.030514028261315
166,50.45,10,1.6,4,23,153.59,2026-05-13 14:51:57,19.708314343381733
167,114.1,6,1.1,0,4,190.97,2026-05-13 14:51:57,35.848562601455725
168,135.62,9,1.0,4,23,240.71,2026-05-13 14:51:57,33.80499356071621
169,100.35,3,1.7,3,8,163.36,2026-05-13 14:51:57,36.85724779627815
170,15.42,2,1.9,0,20,69.39,2026-05-13 14:51:57,13.333333333333332
171,120.78,9,1.0,6,3,222.81,2026-05-13 14:51:57,32.52457250572236
172,48.85,4,1.5,2,6,112.81,2026-05-13 14:51:57,25.981739207517062
173,131.81,2,1.5,0,7,207.71,2026-05-13 14:51:57,38.07520100139618
174,77.12,6,1.4,5,8,148.95,2026-05-13 14:51:57,31.065458207452167
175,107.02,8,1.1,3,13,189.42,2026-05-13 14:51:57,33.89927146024707
176,50.46,4,1.3,5,16,103.97,2026-05-13 14:51:57,29.119938443781862
177,23.87,8,1.8,5,7,109.7,2026-05-13 14:51:57,13.055606198723792
178,81.28,9,1.5,5,5,185.5,2026-05-13 14:51:57,26.290026954177897
179,30.92,2,1.2,5,1,80.45,2026-05-13 14:51:57,23.0602858918583
180,73.31,8,1.7,4,16,172.64,2026-05-13 14:51:57,25.47845227062095
181,135.56,1,1.8,2,8,206.87,2026-05-13 14:51:57,39.31744573886982
182,43.53,3,2.0,0,1,118.27,2026-05-13 14:51:57,22.0833685634565
183,34.05,6,1.4,6,16,104.93,2026-05-13 14:51:57,19.470122939102257
184,41.68,2,1.3,5,16,94.46,2026-05-13 14:51:57,26.474698284988357
185,132.91,5,1.6,5,15,218.03,2026-05-13 14:51:57,36.57570059166169
186,111.14,2,1.8,6,10,189.61,2026-05-13 14:51:57,35.169031169242125
187,116.38,4,1.3,0,12,193.03,2026-05-13 14:51:57,36.17468787235145
188,23.9,6,1.5,4,11,101.55,2026-05-13 14:51:57,14.121122599704579
189,65.64,7,1.3,5,6,140.17,2026-05-13 14:51:57,28.097310408789333
190,60.82,4,1.4,6,3,123.19,2026-05-13 14:51:57,29.622534296614983
191,140.92,7,1.4,4,15,229.49,2026-05-13 14:51:57,36.843435443810186
192,42.42,3,1.6,4,7,109.78,2026-05-13 14:51:57,23.184550920021863
193,77.12,8,1.3,1,8,167.38,2026-05-13 14:51:57,27.644879913968218
194,46.55,6,1.7,6,0,122.34,2026-05-13 14:51:57,22.82981853849926
195,68.69,4,1.1,2,10,139.23,2026-05-13 14:51:57,29.601379013143717
196,72.37,7,1.6,4,10,162.96,2026-05-13 14:51:57,26.64580265095729
197,20.86,2,1.2,6,4,64.07,2026-05-13 14:51:57,19.534883720930235
198,49.58,5,1.8,5,16,128.66,2026-05-13 14:51:57,23.121405254158244
199,89.43,2,1.0,1,19,141.37,2026-05-13 14:51:57,37.95571903515597
200,30.81,4,1.3,5,15,92.71,2026-05-13 14:51:57,19.93959659152195
201,137.38,2,1.9,4,4,216.11,2026-05-13 14:51:57,38.141687103789735
202,22.13,4,1.7,3,2,83.19,2026-05-13 14:51:57,15.961053011179226
203,88.47,4,1.4,5,7,156.12,2026-05-13 14:51:57,34.000768639508074
204,72.03,10,2.0,4,19,182.58,2026-05-13 14:51:57,23.670719684521853
205,113.23,2,1.4,2,5,169.13,2026-05-13 14:51:57,40.16910069177556
206,38.61,7,1.8,1,15,130.53,2026-05-13 14:51:57,17.747644219719604
207,75.28,1,1.6,4,21,127.37,2026-05-13 14:51:57,35.46203972678025
208,45.31,7,1.5,6,4,129.77,2026-05-13 14:51:57,20.94937196578562
209,23.53,1,1.2,2,8,71.33,2026-05-13 14:51:57,19.79251366886303
210,117.86,4,1.6,5,8,200.44,2026-05-13 14:51:57,35.28038315705448
211,99.53,2,1.2,3,16,158.16,2026-05-13 14:51:57,37.75796661608498
212,43.9,8,1.2,3,7,117.86,2026-05-13 14:51:57,22.348549126081792
213,147.2,9,1.3,1,8,264.47,2026-05-13 14:51:57,33.39509207093432
214,34.46,2,1.2,5,6,87.71,2026-05-13 14:51:57,23.573138752707788
215,90.19,5,1.1,0,13,154.52,2026-05-13 14:51:57,35.02070929329536
216,115.45,1,1.8,5,2,171.75,2026-05-13 14:51:57,40.33187772925765
217,85.3,8,1.9,0,7,186.67,2026-05-13 14:51:57,27.417367547008087
218,51.84,2,1.2,4,7,104.8,2026-05-13 14:51:57,29.679389312977104
219,47.28,2,1.4,3,10,95.09,2026-05-13 14:51:57,29.832789988432012
220,9.53,3,1.9,1,9,59.62,2026-05-13 14:51:57,9.590741361959074
221,28.58,5,1.6,5,12,87.72,2026-05-13 14:51:57,19.548563611491108
222,147.98,9,2.0,0,13,258.27,2026-05-13 14:51:57,34.37797653618306
223,114.07,7,1.3,4,16,209.54,2026-05-13 14:51:57,32.66297604276033
224,98.13,4,1.4,0,7,162.31,2026-05-13 14:51:57,36.275029264986756
225,49.07,9,1.4,4,15,134.52,2026-05-13 14:51:57,21.88670829616414
226,64.51,7,1.9,6,16,160.89,2026-05-13 14:51:57,24.057430542606753
227,138.05,7,1.6,2,6,231.75,2026-05-13 14:51:57,35.7411003236246
228,95.21,3,1.8,1,1,158.56,2026-05-13 14:51:57,36.02800201816347
229,125.16,1,1.3,2,1,194.95,2026-05-13 14:51:57,38.520646319569124
230,71.86,1,1.0,2,2,109.47,2026-05-13 14:51:57,39.386133187174565
231,18.49,1,1.8,0,22,66.25,2026-05-13 14:51:57,16.745660377358487
232,114.17,1,1.9,6,23,178.76,2026-05-13 14:51:57,38.32065339002014
233,16.96,5,1.1,5,16,67.42,2026-05-13 14:51:57,15.093444081874816
234,138.58,6,2.0,5,21,239.99,2026-05-13 14:51:57,34.64644360181674
235,10.61,7,1.4,4,11,81.82,2026-05-13 14:51:57,7.780493766805182
236,69.53,1,1.7,2,21,129.85,2026-05-13 14:51:57,32.127839815171356
237,48.05,8,1.6,1,7,136.36,2026-05-13 14:51:57,21.142563801701375
238,74.11,6,1.8,4,12,162.49,2026-05-13 14:51:57,27.36537633085113
239,120.12,8,1.2,6,4,215.9,2026-05-13 14:51:57,33.382121352477995
240,21.23,5,1.1,2,11,78.61,2026-05-13 14:51:57,16.204045286859177
241,13.94,8,1.5,1,5,97.08,2026-05-13 14:51:57,8.61557478368356
242,13.35,10,1.4,5,10,95.11,2026-05-13 14:51:57,8.421827357796236
243,119.24,2,1.9,2,21,197.62,2026-05-13 14:51:57,36.20281348041696
244,52.55,2,1.6,4,7,101.32,2026-05-13 14:51:57,31.119226213975523
245,105.29,10,1.3,4,17,219.41,2026-05-13 14:51:57,28.792671254728592
246,98.42,10,2.0,6,4,221.91,2026-05-13 14:51:57,26.610788157361092
247,135.79,4,1.5,3,13,220.57,2026-05-13 14:51:57,36.93793353583896
248,103.84,2,1.4,3,21,163.3,2026-05-13 14:51:57,38.153092467850584
249,30.44,1,1.9,3,20,78.73,2026-05-13 14:51:57,23.198272577162456
250,51.75,8,1.5,2,22,144.02,2026-05-13 14:51:57,21.559505624218854
251,53.06,10,1.3,2,22,145.18,2026-05-13 14:51:57,21.92864030858245
252,22.89,3,1.8,5,3,87.5,2026-05-13 14:51:57,15.696000000000002
253,95.28,2,2.0,6,23,174.57,2026-05-13 14:51:57,32.74789482728991
254,16.79,6,1.2,0,12,85.28,2026-05-13 14:51:57,11.812851782363976
255,141.2,3,1.4,3,9,210.06,2026-05-13 14:51:57,40.33133390459869
256,76.8,8,1.6,3,19,171.29,2026-05-13 14:51:57,26.90174557767529
257,27.45,6,1.1,2,22,84.31,2026-05-13 14:51:57,19.535049223105208
258,22.48,10,1.1,0,13,107.93,2026-05-13 14:51:57,12.496988789029926
259,144.94,8,1.9,3,3,257.86,2026-05-13 14:51:57,33.725277282246175
260,12.5,1,2.0,4,8,55.19,2026-05-13 14:51:57,13.589418372893642
261,92.67,10,1.1,1,9,184.25,2026-05-13 14:51:57,30.177476255088195
262,145.29,4,1.5,0,12,229.82,2026-05-13 14:51:57,37.93142459315986
263,116.46,6,1.5,3,6,199.98,2026-05-13 14:51:57,34.94149414941494
264,132.14,4,1.9,3,9,220.28,2026-05-13 14:51:57,35.992373343017974
265,27.58,8,1.2,2,23,98.36,2026-05-13 14:51:57,16.823912159414395
266,9.28,2,1.7,0,2,58.62,2026-05-13 14:51:57,9.498464687819856
267,72.28,4,1.3,1,2,132.31,2026-05-13 14:51:57,32.77756783311919
268,54.04,6,1.6,0,3,138.99,2026-05-13 14:51:57,23.328296999784158
269,50.14,7,1.4,6,13,129.83,2026-05-13 14:51:57,23.17184009859046
270,120.66,9,1.6,5,22,224.86,2026-05-13 14:51:57,32.196033087254285
271,25.46,6,1.0,5,19,86.47,2026-05-13 14:51:57,17.666242627500868
272,28.84,4,1.5,4,18,96.32,2026-05-13 14:51:57,17.96511627906977
273,126.78,8,1.4,4,5,229.47,2026-05-13 14:51:57,33.14943129820892
274,66.96,3,1.3,5,7,135.36,2026-05-13 14:51:57,29.68085106382978
275,120.7,10,1.5,2,19,222.59,2026-05-13 14:51:57,32.53515431960106
276,72.85,2,2.0,2,1,136.45,2026-05-13 14:51:57,32.03371198241114
277,91.77,9,1.0,2,22,187.11,2026-05-13 14:51:57,29.427609427609426
278,15.04,2,1.4,3,18,62.87,2026-05-13 14:51:57,14.353427707968823
279,44.48,6,1.9,5,7,124.12,2026-05-13 14:51:57,21.501772478246856
280,28.14,7,1.2,1,15,108.36,2026-05-13 14:51:57,15.581395348837209
281,43.6,8,1.0,3,20,113.35,2026-05-13 14:51:57,23.078958976621085
282,55.65,9,1.2,2,9,147.12,2026-05-13 14:51:57,22.695758564437195
283,53.9,5,1.8,5,23,120.49,2026-05-13 14:51:57,26.840401693086566
284,80.32,1,1.8,0,3,137.6,2026-05-13 14:51:57,35.02325581395348
285,64.39,2,1.5,2,20,117.68,2026-05-13 14:51:57,32.82970768184908
286,114.16,3,1.2,3,5,182.43,2026-05-13 14:51:57,37.54645617497122
287,8.74,1,1.2,6,11,34.69,2026-05-13 14:51:57,15.116748342461806
288,43.37,8,1.5,4,12,128.95,2026-05-13 14:51:57,20.179914695618457
289,28.97,4,1.9,5,23,94.05,2026-05-13 14:51:57,18.481658692185007
290,120.4,4,1.9,6,15,213.25,2026-05-13 14:51:57,33.875732708089096
291,144.7,10,1.7,2,8,266.33,2026-05-13 14:51:57,32.59865580295122
292,28.77,6,1.2,2,8,96.07,2026-05-13 14:51:57,17.96814822525242
293,129.33,1,1.8,5,22,205.24,2026-05-13 14:51:57,37.80841941142078
294,120.94,6,1.3,2,22,213.74,2026-05-13 14:51:57,33.949658463553845
295,77.91,7,1.8,0,23,159.44,2026-05-13 14:51:57,29.31886603110888
296,142.05,2,1.3,3,23,203.42,2026-05-13 14:51:57,41.898535050634166
297,38.54,8,1.4,2,2,127.11,2026-05-13 14:51:57,18.19211706396035
298,82.86,8,1.6,5,1,182.06,2026-05-13 14:51:57,27.30748105020323
299,12.76,9,1.6,3,21,97.13,2026-05-13 14:51:57,7.8822197055492635
300,78.88,9,1.5,2,11,168.5,2026-05-13 14:51:57,28.087833827893174
301,126.56,4,1.7,1,12,204.01,2026-05-13 14:51:57,37.22170481839126
302,86.67,1,1.7,4,17,135.05,2026-05-13 14:51:57,38.50573861532766
303,60.09,10,1.3,4,23,156.2,2026-05-13 14:51:57,23.0819462227913
304,143.33,2,1.2,3,8,219.69,2026-05-13 14:51:57,39.14515908780555
305,56.36,2,1.0,4,1,106.74,2026-05-13 14:51:57,31.68071950534008
306,117.96,10,1.6,0,11,227.01,2026-05-13 14:51:57,31.177481168230475
307,21.53,10,1.8,1,21,120.14,2026-05-13 14:51:57,10.752455468619942
308,44.82,2,1.4,1,13,95.78,2026-05-13 14:51:57,28.07684276466903
309,51.92,9,1.3,4,2,132.44,2026-05-13 14:51:57,23.521594684385384
310,142.91,9,1.5,0,10,254.22,2026-05-13 14:51:57,33.72905357564314
311,89.53,8,1.1,5,4,186.76,2026-05-13 14:51:57,28.76311844077961
312,95.69,2,1.8,3,9,158.47,2026-05-13 14:51:57,36.23020129993059
313,147.63,4,1.2,2,4,236.33,2026-05-13 14:51:57,37.48064147590234
314,149.35,6,1.3,6,7,251.49,2026-05-13 14:51:57,35.63163545270189
315,38.14,6,1.4,3,7,101.6,2026-05-13 14:51:57,22.523622047244096
316,133.55,9,1.3,3,16,232.46,2026-05-13 14:51:57,34.470446528435005
317,22.81,9,1.5,3,2,101.05,2026-05-13 14:51:57,13.543790202869866
318,59.64,5,2.0,6,20,147.58,2026-05-13 14:51:57,24.247187965849033
319,126.43,1,1.9,6,2,188.04,2026-05-13 14:51:57,40.34141671984685
320,66.18,10,1.6,3,5,170.86,2026-05-13 14:51:57,23.24007959733115
321,81.88,5,1.6,1,5,162.49,2026-05-13 14:51:57,30.23447596775186
322,136.25,8,1.3,4,8,227.17,2026-05-13 14:51:57,35.98626579213805
323,127.61,6,1.6,4,23,224.15,2026-05-13 14:51:57,34.15837608744145
324,37.67,1,1.1,4,20,83.06,2026-05-13 14:51:57,27.211654225860823
325,129.42,7,1.1,0,23,221.01,2026-05-13 14:51:57,35.135061761911224
326,32.56,2,1.1,2,7,83.96,2026-05-13 14:51:57,23.268222963315868
327,134.69,2,2.0,3,1,213.99,2026-05-13 14:51:57,37.76531613626805
328,71.53,10,1.6,4,6,167.23,2026-05-13 14:51:57,25.664055492435573
329,85.56,7,1.0,2,13,161.36,2026-05-13 14:51:57,31.81457610312345
331,40.82,1,1.8,2,21,94.73,2026-05-13 14:51:57,25.85453393856223
332,86.01,5,1.2,5,19,156.37,2026-05-13 14:51:57,33.00249408454307
333,114.53,9,1.0,4,5,207.76,2026-05-13 14:51:57,33.075664227955336
334,46.22,3,1.1,3,13,105.84,2026-05-13 14:51:57,26.201814058956916
335,13.27,1,1.2,3,9,43.54,2026-05-13 14:51:57,18.286632981166743
336,100.16,10,1.1,2,13,201.2,2026-05-13 14:51:57,29.86878727634195
337,52.76,4,1.0,3,7,115.38,2026-05-13 14:51:57,27.436297451898078
338,101.91,10,1.7,4,20,213.66,2026-05-13 14:51:57,28.618365627632688
339,13.45,8,1.9,3,5,107.12,2026-05-13 14:51:57,7.533607169529499
340,88.43,10,1.6,0,2,196.24,2026-05-13 14:51:57,27.037301263758664
341,26.73,3,1.3,5,5,84.48,2026-05-13 14:51:57,18.984375
342,12.17,1,1.4,2,20,48.69,2026-05-13 14:51:57,14.996919285274183
